GlobalId,Name,Entity,ObjectType,Length [m],Length Source,Largest Surface Area [m^2],Area Source,Volume [m^3],Volume Source
07OV_Qt_vCaPpDtuenC0bv,1072_200731_Funicular Floors Vorspannung 3D_kg.3dm:1072_200731_Funicular Floors Vorspannung 3D_kg.3dm:6206686,IfcBuildingElementProxy,1072_200731_Funicular Floors Vorspannung 3D_kg.3dm:1072_200731_Funicular Floors Vorspannung 3D_kg.3dm,15.83,(P2) Bounding Box Length,83.7407,(P2) Bounding Box Surface,0.0122,(P2) COMPAS Brep
3F0C$S43P1ZRg2TjWrCk52,1072_210525_TreppeInnenRevitExport_MK:1072_210525_TreppeInnenRevitExport_MK:7935324,IfcBuildingElementProxy,1072_210525_TreppeInnenRevitExport_MK:1072_210525_TreppeInnenRevitExport_MK,0,Not available,0,Not available,0,Not available
2P1Lw8yun3pBsrFxTc_j0l,1072_210621_HiLo_Aussengeländer West_mk:1072_210621_HiLo_Aussengeländer West_mk:7935201,IfcBuildingElementProxy,1072_210621_HiLo_Aussengeländer West_mk:1072_210621_HiLo_Aussengeländer West_mk,3.15,(P2) Bounding Box Length,3.024,(P2) Bounding Box Surface,0.0091,(P2) COMPAS Brep
2P1Lw8yun3pBsrFxTc_j79,1072_211122_HiLo_TerrasseExportPletscher_MK_001:1072_211122_HiLo_TerrasseExportPletscher_MK_001:7935239,IfcBuildingElementProxy,1072_211122_HiLo_TerrasseExportPletscher_MK_001:1072_211122_HiLo_TerrasseExportPletscher_MK_001,13.23,(P2) Bounding Box Length,166.4334,(P2) Bounding Box Surface,7.54,(P2) COMPAS Brep
0JcKt5yGn6Lx0h6cIR0YC$,181012_1072_HiLoextendedshapePanelsWiresOnly_rok_MK.3dm:181012_1072_HiLoextendedshapePanelsWiresOnly_rok_MK.3dm:3205382,IfcRoof,181012_1072_HiLoextendedshapePanelsWiresOnly_rok_MK.3dm:181012_1072_HiLoextendedshapePanelsWiresOnly_rok_MK.3dm,0.01,(P2) Bounding Box Length,0.0001,(P2) Bounding Box Surface,0,(P2) COMPAS Brep
2yJbbEqSPDc8j9KFU1qo7s,2021-Hilo_ASF_Construction v9_003:2021-Hilo_ASF_Construction v9_003:6549949,IfcBuildingElementProxy,2021-Hilo_ASF_Construction v9_003:2021-Hilo_ASF_Construction v9_003,0,Not available,9.256,(P3) Pset Quantities,0.0561,(P3) Pset Quantities
2oh_llra11RhmuIm1tpMwc,Abdeckblech gerundet-neu:Abdeckblech gerundet-neu:6385866,IfcBuildingElementProxy,Abdeckblech gerundet-neu:Abdeckblech gerundet-neu,16.59,(P2) Bounding Box Length,154.6188,(P2) Bounding Box Surface,-0.4842,(P2) COMPAS Brep
2oh_llra11RhmuIm1tpMzA,Abdeckblech gerundet-neu:Abdeckblech gerundet-neu:6385958,IfcBuildingElementProxy,Abdeckblech gerundet-neu:Abdeckblech gerundet-neu,16.59,(P2) Bounding Box Length,154.6188,(P2) Bounding Box Surface,-0.4842,(P2) COMPAS Brep
3CfkjHPHr7huZjPEhmDFd6,Abzug Sprinkler:Abzug Sprinkler:5700206,IfcBuildingElementProxy,Abzug Sprinkler:Abzug Sprinkler,0.19,(P2) Bounding Box Length,0.0095,(P2) Bounding Box Surface,0.0004,(P2) COMPAS Brep
34GTDrn6T9bPcoCQwImKAw,Anschlussgeometrie_FunicularFloorLueftung:Anschlussgeometrie_FunicularFloorLueftung:6210148,IfcBuildingElementProxy,Anschlussgeometrie_FunicularFloorLueftung:Anschlussgeometrie_FunicularFloorLueftung,2.12,(P2) Bounding Box Length,0.1696,(P2) Bounding Box Surface,0.0016,(P2) COMPAS Brep
