ID,Name,Category,Conformity,Laenderkennung,Declaration owner,Registrierungsnummer,Bezugsgroesse,Reference,Flaechengewicht (kg/m2),Density (kg/m3),Schichtdicke (m),Laengengewicht (kg/m),Stueckgewicht (kg),Umrechungsfaktor auf 1kg,biogener Kohlenstoffgehalt in kg,GWPtotal (A1),GWPtotal (A1-A3),GWPtotal (A2),GWPtotal (A3),GWPtotal (A4),GWPtotal (A5),GWPtotal (B1),GWPtotal (B2),GWPtotal (B3),GWPtotal (B4),GWPtotal (B5),GWPtotal (B6),GWPtotal (B7),GWPtotal (C1),GWPtotal (C2),GWPtotal (C3),GWPtotal (C4),GWPbiogenic,GWPfossil,GWPtotal
8ac5659c-5918-41bb-966d-91efdd6c4e50,1.2.04Expanded clay sand,'Mineralische Baustoffe' / 'Zuschläge' / 'Blähton','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,,,,,,,,0.3750547,,,,,,,,,,,,,,,,0.0009017,0.373917,0.3750547
b822aa09-3cb6-49a3-98f6-a3ebf325a70b,1.3.02. Plan bricks (filled with polystyrene),'Mineralische Baustoffe' / 'Steine und Elemente' / 'Ziegel','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,m3,,605.0,,,,,,,284.2385327,,,,,,,,,,,,0.1873479,2.3033215,148.1932988,,0.6251548,433.6260252,434.9225008
ee6d9736-2ddd-4d2d-acc1-3ea1031c1f9e,1.3.11. Roof tiles (concrete),'Mineralische Baustoffe' / 'Steine und Elemente' / 'Dachsteine','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,qm,42.0,,,,,,,,12.9764874,,,,,-3.17135,,,,,,,0.0136839,0.195107,1.7217821,,0.0133747,11.6741417,11.7357106
b3bb06b1-fefb-4e57-99ee-aa113000343b,1.3.16. Glass reinforcement grid,'Mineralische Baustoffe' / 'Steine und Elemente' / 'Glasbausteine','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,qm,0.16,,,,,,,,0.7207009,,,,,,,,,,,,,0.0007417,,0.0034552,0.0148631,0.7097455,0.7248979
5908f568-29cd-4387-9816-d3cb1b2cc577,1.4.05. Dispersion-based tile adhesives,'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Kleber und Klebemörtel','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,,,,,,,,2.4865008,,,,,,,,,,,,,0.0049952,,0.3861779,0.0271898,2.8481152,2.877674
625ab4fe-4c34-4f60-8259-3bc8ebdd119a,1.4.05. Epoxy resin mortar,'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Kleber und Klebemörtel','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,,,,,,,,,4.9836051,,,,,,,,,,,,0.000214,0.0050307,1.6538991,,0.0708886,6.1278519,6.6427489
c5151e24-55fa-4748-862f-855ab913470f,1.4.05. Fibre-reinforced filling compound,'Mineralische Baustoffe' / 'Mörtel und Beton' / 'Kleber und Klebemörtel','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,kg,1.6,,,,,,,,0.6211395,,,,,,,,,,,,,0.0046454,,0.0181214,0.0010833,0.6415896,0.6439063
29e0729d-13dd-496c-9f91-99d60b45c4e4,1m² of Type II technical textile,'Kunststoffe' / 'Folien und Vliese' / 'Technische Textilien','DIN EN 15804+A2' / 'ISO 14025',RER,Sioen Industries NV,EPD-SIO-20220324-IBJ1-EN,1,qm,0.9,,0.00075,,,,,4.1347022,,0.1180214,0.4036848,0.1778292,,,,,,,,,,0.0118553,,2.1316254,0.0002308,6.8472644,6.9777182
33c70403-553e-442c-ac5b-0ee86cceffd6,2.10.01 Loose wood-fiber insulation,'Dämmstoffe' / 'Holzfasern' / 'Holzfaserdämmplatte','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,m3,,70.0,,,,,,,-60.0543568,,,,,,,,,,,,,0.2384161,122.4965049,,12.9746651,49.4692841,62.6805642
121c71e8-0f4c-4529-b72e-331198d15f0f,2.2.01. EPS rigid foam insulation,'Dämmstoffe' / 'Expandiertes Polystyrol (EPS)' / 'EPS weiß','EN 15804+A2 (EF 3.1)',DE,Sphera Solutions GmbH,,1,m3,,25.0,,,,,,,86.9290183,,,,,,,,,,,,,0.1065023,92.2861461,,0.4929676,178.7866731,179.3216667
